understat_id,player_name_us,team_name,position,value,predicted_points,expected_goals_fixture,expected_assists_fixture,clean_sheet_prob,starter_prob,starts,caps,is_starting,is_captain,is_vice_captain
8327,Bruno Guimarães,Brazil,Midfielder,68,4.268262622058073,0.13884697625343073,0.16779924430057355,0.3811352676125714,0.7631578947368421,29,47,False,False,False
12408,Daniel Muñoz,Colombia,Defender,46,6.8533560807868295,0.23247069202389378,0.3951014358787616,0.5506298413065596,0.7631578947368421,29,49,True,False,False
4401,Emiliano Martinez,Argentina,Goalkeeper,50,7.426968241943927,0.0,0.13634854732426804,0.6386725925240716,1.0,32,62,True,False,False
3423,Kylian Mbappe-Lottin,France,Forward,105,7.041413674341353,0.7987632433480429,0.18547655133475685,0.46287045191134757,1.0,31,102,True,False,False
7008,Vinícius Júnior,Brazil,Midfielder,100,6.986952169772827,0.39201247161215486,0.35458192476383305,0.3811352676125714,0.9473684210526315,36,53,True,False,False
2379,João Cancelo,Portugal,Defender,53,3.552635676561164,0.061870277168891014,0.18506062205550924,0.2061833175300807,0.8875,16,71,False,False,False
8963,Nahuel Molina,Argentina,Defender,44,8.137483848409376,0.11644105195769126,1.040588482544265,0.6386725925240716,0.75,26,60,True,False,False
8045,Eric Garcia,Spain,Defender,45,3.836111492561279,0.006652612969308739,0.07511685871210767,0.34597704821116665,0.8947368421052632,34,21,False,False,False
250,Ørjan Nyland,Norway,Goalkeeper,42,3.349999975106103,0.0,0.0,0.18487434686898704,1.0,5,74,False,False,False
6242,Johan Mojica,Colombia,Defender,39,7.250687847307148,0.06477648022356682,0.36671822820970373,0.5506298413065596,0.9210526315789473,35,47,True,False,False
9948,Michael Olise,France,Midfielder,95,7.5810212148771505,0.5737548348457918,0.778286130654421,0.46287045191134757,0.8421052631578947,32,21,True,False,False
10408,Luis Díaz,Colombia,Midfielder,81,11.872699855533275,0.8169925038372141,0.9523671276205282,0.5506298413065596,0.9625,32,77,True,False,True
594,Romelu Lukaku,Belgium,Forward,74,10.036742600881666,1.1047532603435692,0.504192471681191,0.2696167422088403,1.0,5,129,True,False,False
3226,Ousmane Dembélé,France,Midfielder,100,7.091890578862572,0.6401538490400165,0.6861575496015917,0.46287045191134757,0.7875,22,63,True,False,False
99999,Lionel Messi,Argentina,Forward,100,19.64111626949578,2.1533486774814707,1.7808493241978827,0.6386725925240716,1.0,24,202,True,True,False
